,roles,companies,locations,experience,skills
0,Diversity Drive_Capco,Capco,"['hybrid - pune', 'bangalore/bengaluru', 'mumbai (all areas)']",0-0 Yrs,"['investment banking', 'change management', 'transformation', 'business analytics', 'gaap', 'data lineage', 'target operating model', 'capital market']"
1,Relationship Manager-Kotak Mahindra Bank,Kotak Mahindra Bank,"['kolkata', 'chandigarh', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",0-2 Yrs,"['banking', 'structured products', 'credit cards']"
2,Urgent Opening For Angular (10 to14 versions) Front End Developer,Tech Mahindra,"['kolkata', 'visakhapatnam', 'hyderabad/secunderabad', 'pune', 'chennai', 'coimbatore', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",3-7 Yrs,"['angular', 'javascript', 'react js', 'html', 'css', 'scss', 'node js', 'dom']"
3,HCL TECH - Opening For Python,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-9 Yrs,"['python', 'sql', 'it skills']"
4,HCL TECH - Opening For Collibra,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",7-10 Yrs,"['collibra', 'sql', 'python', 'java', 'it skills']"
5,HCL TECH - Opening For Kafka,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-9 Yrs,"['flink', 'kafka', 'apache flink', 'sql']"
6,HCL TECH - Opening For Hyperion DRM,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,['hyperion drm']
7,HCL TECH - Opening For Hyperion developer,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['hyperion', 'hyperion essbase', 'hyperion planning']"
8,Content Lead - Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",8-13 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'communication', 'written', 'interpersonal skills']"
9,Sales Operations Specialist,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",2-5 Yrs,"['business process', 'data management', 'consulting', 'scheduling', 'analytics', 'sales operations', 'sales enablement', 'powerpoint']"
10,Content Developer Associate Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",5-10 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'communication', 'written', 'interpersonal skills']"
11,Vice President - Product Management - Merchant Onboarding,Paytm,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr']",12-15 Yrs,"['consumer internet', 'online product management', 'it skills', 'product management', 'agile scrum', 'edc', 'management', 'analytical']"
12,Paytm - Vice President - Product Management,Paytm,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr']",12-15 Yrs,"['consumer internet', 'online product management', 'it skills', 'product management', 'agile scrum', 'management', 'analytical', 'finance']"
13,HCL TECH - Opening For Scala developer,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",7-12 Yrs,"['aws', 'spark', 'hadoop', 'it skills', 'scala']"
14,HCL TECH - Opening For Scala developer,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['written', 'oral communication', 'spark', 'java', 'hadoop', 'etl', 'scala', 'it skills']"
15,"Change Management Consultant- No ITIL, No technical only HR domain",Accenture Strategy and Consulting Capability network,"['temp. wfh - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",4-7 Yrs,['change impact assessment']
16,Lead - Quality,Flipkart,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",5-8 Yrs,"['supply chain', 'change management', 'iso', 'scm', 'auditing', 'process design', 'analytical', 'monitoring']"
17,HCL is Hiring Full stack Developer - PAN INDIA,HCLTech,"['temp. wfh - kochi/cochin', 'noida', 'new delhi', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",5-8 Yrs,"['spring boot', 'angularjs', 'j2ee', 'microservices', 'communication', 'angular 4+', 'java 8', 'it skills']"
18,Sr Consultant (Change Consultant),Salesforce,"['mumbai', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'bangalore/bengaluru']",8-13 Yrs,"['training', 'change management', 'time management', 'manager program management', 'presales', 'healthcare', 'life sciences', 'project delivery']"
19,Content Developer/Sr. Content Developer,Salesforce,"['mumbai', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'bangalore/bengaluru']",4-8 Yrs,"['business process', 'training', 'e-learning', 'change management', 'instructional design', 'cloud', 'high level design', 'adobe']"
20,Diversity Drive_Capco,Capco,"['hybrid - pune', 'bangalore/bengaluru', 'mumbai (all areas)']",0-0 Yrs,"['investment banking', 'change management', 'transformation', 'business analytics', 'gaap', 'data lineage', 'target operating model', 'capital market']"
21,Relationship Manager-Kotak Mahindra Bank,Kotak Mahindra Bank,"['kolkata', 'chandigarh', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",0-2 Yrs,"['banking', 'structured products', 'credit cards']"
22,Urgent Opening For Angular (10 to14 versions) Front End Developer,Tech Mahindra,"['kolkata', 'visakhapatnam', 'hyderabad/secunderabad', 'pune', 'chennai', 'coimbatore', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",3-7 Yrs,"['angular', 'javascript', 'react js', 'html', 'css', 'scss', 'node js', 'dom']"
23,HCL TECH - Opening For Python,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-9 Yrs,"['python', 'sql', 'it skills']"
24,HCL TECH - Opening For Collibra,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",7-10 Yrs,"['collibra', 'sql', 'python', 'java', 'it skills']"
25,HCL TECH - Opening For Kafka,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-9 Yrs,"['flink', 'kafka', 'apache flink', 'sql']"
26,HCL TECH - Opening For Hyperion DRM,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,['hyperion drm']
27,HCL TECH - Opening For Hyperion developer,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['hyperion', 'hyperion essbase', 'hyperion planning']"
28,Content Lead - Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",8-13 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'communication', 'written', 'interpersonal skills']"
29,Sales Operations Specialist,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",2-5 Yrs,"['business process', 'data management', 'consulting', 'scheduling', 'analytics', 'sales operations', 'sales enablement', 'powerpoint']"
30,Content Developer Associate Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",5-10 Yrs,"['product management', 'business process', 'consulting', 'agile', 'proposal development', 'communication', 'written', 'interpersonal skills']"
31,Vice President - Product Management - Merchant Onboarding,Paytm,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr']",12-15 Yrs,"['consumer internet', 'online product management', 'it skills', 'product management', 'agile scrum', 'edc', 'management', 'analytical']"
32,Paytm - Vice President - Product Management,Paytm,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr']",12-15 Yrs,"['consumer internet', 'online product management', 'it skills', 'product management', 'agile scrum', 'management', 'analytical', 'finance']"
33,HCL TECH - Opening For Scala developer,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",7-12 Yrs,"['aws', 'spark', 'hadoop', 'it skills', 'scala']"
34,HCL TECH - Opening For Scala developer,HCLTech,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['written', 'oral communication', 'spark', 'java', 'hadoop', 'etl', 'scala', 'it skills']"
35,"Change Management Consultant- No ITIL, No technical only HR domain",Accenture Strategy and Consulting Capability network,"['temp. wfh - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",4-7 Yrs,['change impact assessment']
36,Lead - Quality,Flipkart,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",5-8 Yrs,"['supply chain', 'change management', 'iso', 'scm', 'auditing', 'process design', 'analytical', 'monitoring']"
37,HCL is Hiring Full stack Developer - PAN INDIA,HCLTech,"['temp. wfh - kochi/cochin', 'noida', 'new delhi', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",5-8 Yrs,"['spring boot', 'angularjs', 'j2ee', 'microservices', 'communication', 'angular 4+', 'java 8', 'it skills']"
38,Sr Consultant (Change Consultant),Salesforce,"['mumbai', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'bangalore/bengaluru']",8-13 Yrs,"['training', 'change management', 'time management', 'manager program management', 'presales', 'healthcare', 'life sciences', 'project delivery']"
39,Content Developer/Sr. Content Developer,Salesforce,"['mumbai', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'bangalore/bengaluru']",4-8 Yrs,"['business process', 'training', 'e-learning', 'change management', 'instructional design', 'cloud', 'high level design', 'adobe']"
40,Opening For Manta Developer,TeamLease,"['hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",4-8 Yrs,['mantas']
41,Angular Developer-Face To Face interview-Kolkata Mindtree office,Mindtree,"['kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['angularjs', 'javascript', 'html', 'jquery', 'cssjava script']"
42,Opening For the Post of Circle Head - Operations,Avenue Supermarts Limited [ D - Mart ],"['hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",15-21 Yrs,"['retail sales', 'team leading', 'process management', 'operations', 'sales', 'data analysis', 'business process', 'fmcg']"
43,Urgent Opening For SAP ABAP WebDynpro - PAN India,Tech Mahindra,"['kolkata', 'visakhapatnam', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'coimbatore', 'bangalore/bengaluru', 'mumbai (all areas)']",8-13 Yrs,"['sap abap', 'webdynpro', 'abap', 'communication', 'abap debugger', 'sap', 'sdlc', 'it skills']"
44,Windchill Developer,Larsen & Toubro (L&T),"['mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",3-5 Yrs,"['pdmlink', 'developer', 'windchill', 'it skills', 'java', 'j2ee', 'javascript']"
45,HR Executive,Bajaj Finance,"['kolkata', 'hyderabad/secunderabad', 'lucknow', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",0-2 Yrs,"['hr', 'tat', 'acm', 'crm']"
46,Management Trainee Human Resource MFL,Muthoot Fincorp Limited,"['kochi/cochin', 'madurai', 'kolkata', 'hyderabad/secunderabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'trivandrum/thiruvananthapuram', 'mumbai (all areas)']",0-3 Yrs,['hr operations']
47,LTIMindtree is Hiring Project Manager,Mindtree,"['rajahmundry', 'kolkata', 'tirupati', 'vijayawada', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",8-13 Yrs,"['java', 'dotnet', 'project manager', 'agile']"
48,Technical Architect (Financial Services Cloud),Salesforce,"['mumbai', 'pune', 'gurgaon/gurugram', 'jaipur', 'bangalore/bengaluru']",9-14 Yrs,"['system architecture', 'data migration', 'coding', 'flex', 'presales', 'ssl', 'release management', 'financial services']"
49,Business Analyst(Immediate and Dec Joiner Only),Capgemini,"['hybrid - pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",4-9 Yrs,"['analytical', 'rally', 'agile', 'servicenow', 'requirement gathering analysis', 'communication', 'jira', 'business analysis']"
