,roles,companies,locations,experience,skills
50,Technical Architect - Salesforce Marketing Cloud (SFMC),Salesforce,"['mumbai', 'pune', 'gurgaon/gurugram', 'bangalore/bengaluru']",6-11 Yrs,"['cloud computing', 'automation', 'social media', 'web development', 'sms', 'presales', 'digital marketing', 'recruitment']"
51,Oracle CPQ Consultant,Hexaware Technologies,"['hybrid - noida', 'pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",7-12 Yrs,"['cpq cloud', 'cpq', 'oracle cpq', 'troubleshooting', 'html', 'json', 'soap', 'big machines']"
52,Service Cloud Solution Architect(12yrs+ exp),WNS Holdings,"['pune', 'gurgaon/gurugram', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",12-20 Yrs,"['service cloud', 'solution architect', 'salesforce']"
53,SAP OS/DB Migration professional,Capgemini,"['mumbai', 'pune', 'bangalore/bengaluru']",6-9 Yrs,"['sap s/4 hana', 's4', 's / 4 hana', 'azure', 'aws', 'sap os', 'sap basis', 'hana']"
54,Opportunity with Oracle_ OFSAA!!,Oracle,"['hybrid - pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",4-9 Yrs,"['ofsaa', 'kyc', 'aml', 'ofsaa fccm', 'ofsaa epm', 'plsql', 'ofsaa erm', 'it skills']"
55,OBIEE Developer,Capgemini,"['mumbai', 'pune', 'chennai', 'bangalore/bengaluru']",6-9 Yrs,"['obiee development', 'python', 'java scripting', 'communication', 'oracle analytics cloud', 'oracle databases', 'html', 'oracle data integrator 12c']"
56,Spark / Scala professional,Capgemini,"['mumbai', 'pune', 'bangalore/bengaluru']",6-9 Yrs,"['spark', 'scala', 'object oriented programming', 'big data', 'it skills', 'testing', 'programming', 'designing']"
57,"C++, VC++, MFC Professional",Capgemini,"['mumbai', 'pune', 'bangalore/bengaluru']",4-9 Yrs,"['c++', 'design patterns', 'multithreading', 'mfc', 'review', 'gui', 'oops', 'vc++']"
58,Big Data Tester,Citiustech,"['hybrid - pune', 'bangalore/bengaluru', 'mumbai (all areas)']",5-7 Yrs,"['big data testing', 'hadoop']"
59,Java Software Developer,Citiustech,"['hybrid - pune', 'bangalore/bengaluru', 'mumbai (all areas)']",4-7 Yrs,"['spring boot', 'java', 'microservices', 'rest api', 'jenkins', 'tfs', 'docker', 'ui']"
60,Plsql Developer WITH Banking Domain @ OFSS,Oracle,"['pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",3-8 Yrs,"['plsql development', 'plsql programming', 'triggers', 'banking', 'procedures', 'oracle sql', 'functions', 'banking domain']"
61,Java Software Developer,Citiustech,"['hybrid - pune', 'bangalore/bengaluru', 'mumbai (all areas)']",0-5 Yrs,"['spring boot', 'java', 'microservices', 'rest api', 'jenkins', 'tfs', 'docker', 'ui']"
62,Apigee,Wipro,"['temp. wfh - pune', 'bangalore/bengaluru', 'mumbai (all areas)']",4-9 Yrs,"['aws', 'apigee management', 'apige edge administration', 'it skills', 'java', 'apigee']"
63,Hexaware Hiring _ Project Manager (Agile) - Immediate Joiner,Hexaware Technologies,"['temp. wfh - pune', 'chennai', 'mumbai (all areas)']",6-10 Yrs,"['agile methodology', 'project management', 'project planning', 'resource management', 'project estimation', 'waterfall', 'communication', 'it skills']"
64,UI Developer,HCL Technologies,"['temp. wfh - kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",8-13 Yrs,"['ui development', 'typescript', 'aws cloud services', 'angular framework', 'java', 'analytical', 'golang', 'javascript']"
65,Relationship Manager: Retail Banking (PAN India),Icici Bank,"['kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",3-8 Yrs,"['sales', 'retail banking', 'customer service', 'private banking', 'cross selling', 'banking', 'priority banking', 'customer relationship']"
66,Automation Tester,Cognizant,"['kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",4-8 Yrs,"['api automation', 'java', 'automation testing', 'selenium', 'regression testing', 'rest api', 'cucumber', 'it skills']"
67,SQL Developer (SAS),Tech Mahindra,"['kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",4-9 Yrs,"['sql development', 'sas', 'etl', 'sql', 'analytical', 'oracle', 'db2', 'it skills']"
68,Job || Data Analyst || Tech Mahindra,Tech Mahindra,"['temp. wfh - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['data anlalytics', 'postgresql', 'data analysis', 'it skills', 'python', 'aws']"
69,Competitive & Market Intelligence Senior Analyst,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",1-2 Yrs,"['business process', 'industry research', 'consulting', 'analytics', 'balance sheet', 'competitive analysis', 'market intelligence', 'cash flow']"
70,Employee Relations and Policies Specialist,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",3-7 Yrs,"['business process', 'change management', 'team management', 'stakeholder management', 'continuous improvement', 'data analytics', 'program management', 'it skills']"
71,HCL Hiring WCS Developer,HCLTech,"['hybrid - noida', 'kolkata', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['wcs', 'websphere commerce server', 'rest services', 'node js', 'bod', 'soap', 'reactjs', 'ibm websphere commerce']"
72,Training Officer,Teleperformance (TP),"['kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",1-6 Yrs,"['soft skills', 'communication skills', 'voice and accent training', 'bpo', 'voice', 'training', 'communication skills trainer']"
73,HCL Hiring IIB || PAN India || Nov-19 drive,HCLTech,"['hybrid - noida', 'kolkata', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['iib', 'rest integration services', 'websphere mq', 'soap', 'troubleshooting', 'service oriented architecture', 'api', 'iib ibm integration bus']"
74,Content Lead - Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi ncr']",7-11 Yrs,"['product management', 'business process', 'consulting', 'agile', 'marketing communication', 'communication', 'written', 'interpersonal skills']"
75,Architect,Capgemini,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",12-20 Yrs,"['architect', 'it skills', 'java', 'testing', 'mobile architect', 'angular', 'ux architect', 'cx architect']"
76,Microsoft Dynamics CRM Architect,Capgemini,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",13-20 Yrs,"['d365', 'ms dynamics crm', 'dynamic 365', 'microsoft dynamics', 'technical architecture', 'solution architecting', 'ms crm', 'ms crm dynamics']"
77,Salesforce Solution Architect,Capgemini,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",13-20 Yrs,"['solution architecting', 'visualforce', 'sfdc', 'salesforce crm', 'salesforce', 'it skills', 'cloud', 'oracle']"
78,Salesforce Technical Architect,Capgemini,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",13-20 Yrs,"['salesforce', 'oob salesforce', 'apex programming', 'salesforce lightning', 'soql', 'lightning', 'salesforce apis', 'javascript']"
79,Probationary Officers' Programme,Icici Bank,"['kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",0-5 Yrs,"['graduate', 'customer service', 'sales', 'bfsi sales', 'bfsi', 'relationship management', 'banking', 'fresher']"
80,Senior Net Developer,Xoriant,"['temp. wfh - kochi/cochin', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'gurgaon/gurugram', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",5-9 Yrs,"['c#', 'web api', 'entity framework', '.net', 'azure', 'visual studio']"
81,Franchise Alpha - Franchise Business Consultant,Franchise Alpha,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",0-3 Yrs,"['sales', 'franchise development', 'client services', 'key account management', 'marketing']"
82,Competitive & Market Intelligence Senior Analyst,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",1-2 Yrs,"['business process', 'industry research', 'consulting', 'analytics', 'balance sheet', 'competitive analysis', 'market intelligence', 'cash flow']"
83,Competitive & Market Intelligence Associate Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",3-7 Yrs,"['business process', 'consulting', 'competitive intelligence', 'analytics', 'monitoring', 'advanced sales', 'management', 'business management']"
84,Competitive & Market Intelligence Associate Manager,Accenture,"['kolkata', 'mumbai', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",4-9 Yrs,"['business process', 'consulting', 'competitive intelligence', 'analytics', 'monitoring', 'competitive analysis', 'market intelligence', 'business case development']"
85,Automation Tester - Cucumber,Cognizant,"['temp. wfh - kochi/cochin', 'kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'coimbatore', 'bangalore/bengaluru', 'mumbai (all areas)']",4-8 Yrs,"['automation testing', 'cucumber', 'selenium', 'communication', 'cucumber testing', 'html', 'java', 'it skills']"
86,Senior Technical Consultant (Salesforce Developer),Salesforce,"['mumbai', 'hyderabad/secunderabad', 'pune', 'gurgaon/gurugram', 'jaipur', 'bangalore/bengaluru']",4-8 Yrs,"['environment management', 'cloud computing', 'data migration', 'data management', 'coding', 'saml', 'ssl', 'release management']"
87,SAP ABAP on Hana,Wipro,"['hybrid - bhubaneswar', 'kolkata', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['sap abap', 'ooabap', 'odata', 'abap', 'webdynpro abap', 'oo abap']"
88,AEM/Adobe Architect,Capgemini,"['hybrid - kolkata', 'hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",13-20 Yrs,"['aem', 'architecting', 'adobe', 'oops', 'java', 'java content', 'crx', 'apache felix']"
89,Opening with Tech Mahindra For Inside Sales Executive,Tech Mahindra,"['hybrid - hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",1-4 Yrs,"['inside sales', 'cold calling', 'sales', 'written', 'verbal communication', 'lead generation', 'online lead generation', 'email marketing']"
90,Oracle Fusion Finance Analyst,Oracle,"['hyderabad/secunderabad', 'pune', 'chennai', 'delhi / ncr', 'bangalore/bengaluru', 'mumbai (all areas)']",5-10 Yrs,"['oracle fusion finance', 'it skills', 'cloud', 'oracle', 'fbdi', 'iby', 'fsr', 'gl']"
91,Relationship Manager- Wholesale Banking Group - GCG,Icici Bank,"['hyderabad/secunderabad', 'pune', 'ahmedabad', 'chennai', 'bangalore/bengaluru', 'delhi / ncr', 'mumbai (all areas)']",5-10 Yrs,"['corporate banking', 'wholesale banking', 'credit analysis', 'credit appraisal', 'portfolio management', 'relationship management', 'working capital', 'term loan']"
92,Drupal Developer,Trigyn Technologies,"['temp. wfh - hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",5-10 Yrs,"['drupal development', 'drupal cms', 'web development', 'drupal content management systems', 'php', 'drush', 'drupal', 'html']"
93,Teradata Performance DBA,Teradata,"['hybrid - hyderabad/secunderabad', 'pune', 'bangalore/bengaluru', 'mumbai (all areas)']",3-8 Yrs,"['it skills', 'python', 'dba', 'tableau', 'database administration', 'teradata dba']"
94,Java Developer,Tech Mahindra,"['temp. wfh - hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",5-10 Yrs,"['rdbms', 'spring boot', 'core java development', 'microservices', 'api', 'hibernate', 'springboot', 'postgresql']"
95,SAP ABAP Consultant,NTT DATA Business Solutions Private Limited,"['hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru', 'mumbai (all areas)']",6-9 Yrs,"['odata', 'sap abap', 'oo abap', 'debugging', 'hana', 'idocs', 'fico', 'web services']"
96,Hiring Freshers - Non Voice Process,Cognizant,"['noida', 'hyderabad/secunderabad', 'pune', 'chennai', 'bangalore/bengaluru']",0-0 Yrs,"['night shift', 'non voice process']"
97,Lead Data & Analytics Architect,Baker Hughes,"['mumbai', 'hyderabad/secunderabad', 'bangalore/bengaluru']",8-13 Yrs,"['process optimization', 'operational support', 'architecture', 'performance management', 'agile', 'manager technology', 'data analytics', 'asset management']"
98,Full Stack Engineer - Senior Associate - P&T Labs,PwC,"['mumbai', 'hyderabad/secunderabad', 'bangalore/bengaluru']",2-5 Yrs,"['automation', 'front end', 'web technologies', 'git', 'database design', 'application development', 'mvc', 'middleware']"
99,Quality Engineer (Functional) - Senior Associate,PwC,"['mumbai', 'hyderabad/secunderabad', 'bangalore/bengaluru']",4-9 Yrs,"['manager quality assurance', 'jquery', 'consulting', 'ifs', 'javascript', 'selenium', 'information technology', 'software quality assurance']"
